"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
1971,"L","PH",NA,"SKJ","SKIPJACK TUNA",1147
1971,"L","PH",NA,"YFT","YELLOWFIN TUNA",601
1987,"L","NZ",NA,"ALB","ALBACORE",9
1994,"L","US","AS","YFT","YELLOWFIN TUNA",1
1994,"L","US","AS","ALB","ALBACORE",1
1980,"P","ID",NA,"YFT","YELLOWFIN TUNA",4016
1980,"P","ID",NA,"SKJ","SKIPJACK TUNA",19816
1980,"P","ID",NA,"BET","BIGEYE TUNA",865
2014,"S","SB",NA,"YFT","YELLOWFIN TUNA",16013
2014,"S","SB",NA,"BET","BIGEYE TUNA",551
2014,"S","SB",NA,"SKJ","SKIPJACK TUNA",13861
2006,"L","NC",NA,"BET","BIGEYE TUNA",35
2006,"L","NC",NA,"YFT","YELLOWFIN TUNA",414
2006,"L","NC",NA,"MLS","STRIPED MARLIN",54
2006,"L","NC",NA,"SWO","SWORDFISH",10
2006,"L","NC",NA,"ALB","ALBACORE",1358
2006,"L","NC",NA,"MAK","MAKO SHARKS",14
2006,"L","US","AS","SWO","SWORDFISH",38
2006,"L","US","AS","BSH","BLUE SHARK",1
2006,"L","US","AS","BET","BIGEYE TUNA",181
2006,"L","US","AS","MLS","STRIPED MARLIN",4
2006,"L","US","AS","SKJ","SKIPJACK TUNA",190
2006,"L","US","AS","MAK","MAKO SHARKS",1
2006,"L","US","AS","YFT","YELLOWFIN TUNA",513
2006,"L","US","AS","ALB","ALBACORE",4078
1982,"K","PH",NA,"YFT","YELLOWFIN TUNA",21809
1982,"K","PH",NA,"SKJ","SKIPJACK TUNA",7735
1982,"K","PH",NA,"BET","BIGEYE TUNA",2397
1979,"P","AU",NA,"ALB","ALBACORE",100
2016,"T","CK",NA,"ALB","ALBACORE",21
1994,"L","WS",NA,"SKJ","SKIPJACK TUNA",8
1994,"L","WS",NA,"BET","BIGEYE TUNA",14
1994,"L","WS",NA,"ALB","ALBACORE",641
1994,"L","WS",NA,"SWO","SWORDFISH",17
1994,"L","WS",NA,"MLS","STRIPED MARLIN",7
1994,"L","WS",NA,"YFT","YELLOWFIN TUNA",73
1982,"T","US","GU","SKJ","SKIPJACK TUNA",57
1982,"T","US","GU","YFT","YELLOWFIN TUNA",51
1991,"S","AU","EX","YFT","YELLOWFIN TUNA",1318
1991,"S","AU","EX","BET","BIGEYE TUNA",136
1991,"S","AU","EX","SKJ","SKIPJACK TUNA",3775
2005,"L","PH",NA,"SWO","SWORDFISH",26
2005,"L","PH",NA,"BET","BIGEYE TUNA",59
2005,"L","PH",NA,"YFT","YELLOWFIN TUNA",484
2005,"L","PH",NA,"MLS","STRIPED MARLIN",10
2020,"O","KI",NA,"YFT","YELLOWFIN TUNA",2169
2020,"O","KI",NA,"SKJ","SKIPJACK TUNA",2190
2008,"S","KI",NA,"SKJ","SKIPJACK TUNA",4419
2008,"S","KI",NA,"YFT","YELLOWFIN TUNA",2087
2008,"S","KI",NA,"BET","BIGEYE TUNA",285
1993,"H","PH",NA,"SWO","SWORDFISH",84
1993,"H","PH",NA,"BET","BIGEYE TUNA",149
1993,"H","PH",NA,"YFT","YELLOWFIN TUNA",4813
1982,"O","ID",NA,"SKJ","SKIPJACK TUNA",12317
1982,"O","ID",NA,"YFT","YELLOWFIN TUNA",9031
1982,"O","ID",NA,"BET","BIGEYE TUNA",1006
2008,"O","NZ",NA,"YFT","YELLOWFIN TUNA",2
2008,"O","NZ",NA,"BET","BIGEYE TUNA",1
2008,"O","NZ",NA,"SKJ","SKIPJACK TUNA",5
2003,"S","KR",NA,"YFT","YELLOWFIN TUNA",48823
2003,"S","KR",NA,"SKJ","SKIPJACK TUNA",136164
2003,"S","KR",NA,"BET","BIGEYE TUNA",4336
1976,"S","JP","CS","YFT","YELLOWFIN TUNA",1194
1976,"S","JP","CS","ALB","ALBACORE",123
1976,"S","JP","CS","SKJ","SKIPJACK TUNA",919
1976,"S","JP","CS","BET","BIGEYE TUNA",18
2005,"T","US",NA,"ALB","ALBACORE",576
1953,"K","PH",NA,"SKJ","SKIPJACK TUNA",1345
1953,"K","PH",NA,"YFT","YELLOWFIN TUNA",5698
2007,"S","PH","DW","SKJ","SKIPJACK TUNA",19815
2007,"S","PH","DW","BET","BIGEYE TUNA",928
2007,"S","PH","DW","YFT","YELLOWFIN TUNA",13475
1968,"H","PH",NA,"SWO","SWORDFISH",55
1968,"H","PH",NA,"YFT","YELLOWFIN TUNA",3413
1978,"L","US","HW","BET","BIGEYE TUNA",189
1978,"L","US","HW","YFT","YELLOWFIN TUNA",172
1978,"L","US","HW","ALB","ALBACORE",54
1984,"P","ID",NA,"SKJ","SKIPJACK TUNA",30247
1984,"P","ID",NA,"YFT","YELLOWFIN TUNA",6129
1984,"P","ID",NA,"BET","BIGEYE TUNA",1320
1994,"G","JP",NA,"YFT","YELLOWFIN TUNA",9
1994,"G","JP",NA,"MLS","STRIPED MARLIN",1443
1994,"G","JP",NA,"PBF","PACIFIC BLUEFIN TUNA",126
1994,"G","JP",NA,"ALB","ALBACORE",263
1994,"G","JP",NA,"SWO","SWORDFISH",421
1994,"G","JP",NA,"BET","BIGEYE TUNA",10
1994,"G","JP",NA,"SKJ","SKIPJACK TUNA",642
1970,"O","PH",NA,"BET","BIGEYE TUNA",400
1970,"O","PH",NA,"YFT","YELLOWFIN TUNA",3604
1970,"O","PH",NA,"SKJ","SKIPJACK TUNA",7765
2013,"L","FM",NA,"THR","THRESHER SHARKS NEI",30
2013,"L","FM",NA,"MAK","MAKO SHARKS",33
2013,"L","FM",NA,"SWO","SWORDFISH",13
2013,"L","FM",NA,"BET","BIGEYE TUNA",1270
2013,"L","FM",NA,"ALB","ALBACORE",750
2013,"L","FM",NA,"SKJ","SKIPJACK TUNA",1
2013,"L","FM",NA,"BSH","BLUE SHARK",458
2013,"L","FM",NA,"YFT","YELLOWFIN TUNA",850
1975,"T","NZ",NA,"ALB","ALBACORE",646
2017,"S","TW",NA,"SKJ","SKIPJACK TUNA",119631
2017,"S","TW",NA,"BET","BIGEYE TUNA",5501
2017,"S","TW",NA,"YFT","YELLOWFIN TUNA",43826
2005,"S","MH",NA,"YFT","YELLOWFIN TUNA",10741
2005,"S","MH",NA,"SKJ","SKIPJACK TUNA",39727
2005,"S","MH",NA,"BET","BIGEYE TUNA",5697
2003,"S","PH","PH","BET","BIGEYE TUNA",4362
2003,"S","PH","PH","YFT","YELLOWFIN TUNA",37976
2003,"S","PH","PH","SKJ","SKIPJACK TUNA",85662
1985,"S","KR",NA,"BET","BIGEYE TUNA",585
1985,"S","KR",NA,"SKJ","SKIPJACK TUNA",7925
1985,"S","KR",NA,"YFT","YELLOWFIN TUNA",2742
2008,"R","PH",NA,"YFT","YELLOWFIN TUNA",8421
2008,"R","PH",NA,"BET","BIGEYE TUNA",322
2008,"R","PH",NA,"SKJ","SKIPJACK TUNA",17761
1991,"P","JP","DW","PBF","PACIFIC BLUEFIN TUNA",64
1991,"P","JP","DW","YFT","YELLOWFIN TUNA",5404
1991,"P","JP","DW","ALB","ALBACORE",7009
1991,"P","JP","DW","SKJ","SKIPJACK TUNA",151338
1991,"P","JP","DW","BET","BIGEYE TUNA",1232
1985,"S","TW",NA,"SKJ","SKIPJACK TUNA",17629
1985,"S","TW",NA,"BET","BIGEYE TUNA",2035
1985,"S","TW",NA,"YFT","YELLOWFIN TUNA",8336
1993,"T","US","MP","YFT","YELLOWFIN TUNA",6
1993,"T","US","MP","SKJ","SKIPJACK TUNA",44
1958,"S","JP","CS","BET","BIGEYE TUNA",48
1958,"S","JP","CS","SKJ","SKIPJACK TUNA",10698
1958,"S","JP","CS","ALB","ALBACORE",8
1958,"S","JP","CS","YFT","YELLOWFIN TUNA",3338
2023,"L","SB",NA,"SWO","SWORDFISH",56.24
2023,"L","SB",NA,"YFT","YELLOWFIN TUNA",5206.07
2023,"L","SB",NA,"ALB","ALBACORE",2337.86
2023,"L","SB",NA,"BSH","BLUE SHARK",15.71
2023,"L","SB",NA,"THR","THRESHER SHARKS NEI",0.13
2023,"L","SB",NA,"MLS","STRIPED MARLIN",1.47
2023,"L","SB",NA,"BET","BIGEYE TUNA",951.18
2023,"L","SB",NA,"PBF","PACIFIC BLUEFIN TUNA",0.77
2023,"L","SB",NA,"MAK","MAKO SHARKS",5.32
2023,"L","SB",NA,"SKJ","SKIPJACK TUNA",48.07
1999,"O","JP",NA,"YFT","YELLOWFIN TUNA",168
1999,"O","JP",NA,"ALB","ALBACORE",152
1999,"O","JP",NA,"BET","BIGEYE TUNA",14
1999,"O","JP",NA,"SKJ","SKIPJACK TUNA",1156
1999,"O","JP",NA,"MLS","STRIPED MARLIN",103
1999,"O","JP",NA,"SWO","SWORDFISH",424
1999,"O","JP",NA,"PBF","PACIFIC BLUEFIN TUNA",1747
1986,"S","NZ",NA,"SKJ","SKIPJACK TUNA",4875
1982,"P","NC",NA,"YFT","YELLOWFIN TUNA",41
1982,"P","NC",NA,"SKJ","SKIPJACK TUNA",827
2016,"S","KI",NA,"SKJ","SKIPJACK TUNA",132395
2016,"S","KI",NA,"BET","BIGEYE TUNA",9319
2016,"S","KI",NA,"MLS","STRIPED MARLIN",19
2016,"S","KI",NA,"SWO","SWORDFISH",2
2016,"S","KI",NA,"YFT","YELLOWFIN TUNA",23272
2002,"H","ID",NA,"BET","BIGEYE TUNA",290
2002,"H","ID",NA,"SWO","SWORDFISH",4
2002,"H","ID",NA,"YFT","YELLOWFIN TUNA",9097
1989,"L","US","HW","MLS","STRIPED MARLIN",591
1989,"L","US","HW","SKJ","SKIPJACK TUNA",10
1989,"L","US","HW","YFT","YELLOWFIN TUNA",988
1989,"L","US","HW","ALB","ALBACORE",272
1989,"L","US","HW","BET","BIGEYE TUNA",1445
1989,"L","US","HW","SWO","SWORDFISH",273
2019,"P","JP","CS","SKJ","SKIPJACK TUNA",9343
2019,"P","JP","CS","ALB","ALBACORE",177
2019,"P","JP","CS","BET","BIGEYE TUNA",118
2019,"P","JP","CS","YFT","YELLOWFIN TUNA",1583
2012,"O","NR",NA,"YFT","YELLOWFIN TUNA",8
2012,"O","NR",NA,"SKJ","SKIPJACK TUNA",3
2008,"T","JP",NA,"MLS","STRIPED MARLIN",23
2008,"T","JP",NA,"ALB","ALBACORE",549
2008,"T","JP",NA,"SKJ","SKIPJACK TUNA",4178
2008,"T","JP",NA,"BET","BIGEYE TUNA",138
2008,"T","JP",NA,"YFT","YELLOWFIN TUNA",2436
2008,"T","JP",NA,"SWO","SWORDFISH",12
2008,"T","JP",NA,"PBF","PACIFIC BLUEFIN TUNA",2377
2019,"L","TO",NA,"SWO","SWORDFISH",33
2019,"L","TO",NA,"THR","THRESHER SHARKS NEI",0.006
2019,"L","TO",NA,"ALB","ALBACORE",29
2019,"L","TO",NA,"MAK","MAKO SHARKS",11
2019,"L","TO",NA,"MLS","STRIPED MARLIN",14
2019,"L","TO",NA,"BET","BIGEYE TUNA",16
2019,"L","TO",NA,"BSH","BLUE SHARK",2
2019,"L","TO",NA,"YFT","YELLOWFIN TUNA",186
2019,"L","TO",NA,"SKJ","SKIPJACK TUNA",2
2005,"H","PH",NA,"SWO","SWORDFISH",44
2005,"H","PH",NA,"BET","BIGEYE TUNA",670
2005,"H","PH",NA,"YFT","YELLOWFIN TUNA",12990
2007,"S","US",NA,"SKJ","SKIPJACK TUNA",68383
2007,"S","US",NA,"YFT","YELLOWFIN TUNA",14281
2007,"S","US",NA,"BET","BIGEYE TUNA",6072
2008,"L","TO",NA,"SWO","SWORDFISH",28
2008,"L","TO",NA,"BET","BIGEYE TUNA",81
2008,"L","TO",NA,"ALB","ALBACORE",220
2008,"L","TO",NA,"MLS","STRIPED MARLIN",11
2008,"L","TO",NA,"YFT","YELLOWFIN TUNA",291
2005,"L","TO",NA,"MLS","STRIPED MARLIN",6
2005,"L","TO",NA,"SWO","SWORDFISH",18
2005,"L","TO",NA,"YFT","YELLOWFIN TUNA",219
2005,"L","TO",NA,"ALB","ALBACORE",283
2005,"L","TO",NA,"BET","BIGEYE TUNA",125
2005,"L","TO",NA,"SKJ","SKIPJACK TUNA",2
1988,"L","PH",NA,"MLS","STRIPED MARLIN",58
1988,"L","PH",NA,"BET","BIGEYE TUNA",273
1988,"L","PH",NA,"SKJ","SKIPJACK TUNA",1531
1988,"L","PH",NA,"YFT","YELLOWFIN TUNA",2897
1988,"L","PH",NA,"SWO","SWORDFISH",159
1999,"T","US",NA,"ALB","ALBACORE",1339
2000,"K","PH",NA,"SKJ","SKIPJACK TUNA",28887
2000,"K","PH",NA,"BET","BIGEYE TUNA",3951
2000,"K","PH",NA,"YFT","YELLOWFIN TUNA",41991
1979,"K","PH",NA,"BET","BIGEYE TUNA",2569
1979,"K","PH",NA,"SKJ","SKIPJACK TUNA",10006
1979,"K","PH",NA,"YFT","YELLOWFIN TUNA",23384
1997,"T","JP",NA,"ALB","ALBACORE",1585
1997,"T","JP",NA,"PBF","PACIFIC BLUEFIN TUNA",2740
1997,"T","JP",NA,"YFT","YELLOWFIN TUNA",1822
1997,"T","JP",NA,"BET","BIGEYE TUNA",320
1997,"T","JP",NA,"SKJ","SKIPJACK TUNA",8781
1997,"T","JP",NA,"MLS","STRIPED MARLIN",54
1997,"T","JP",NA,"SWO","SWORDFISH",50
2016,"H","US","HW","SKJ","SKIPJACK TUNA",5
2016,"H","US","HW","ALB","ALBACORE",24
2016,"H","US","HW","YFT","YELLOWFIN TUNA",269
2016,"H","US","HW","SWO","SWORDFISH",4
2016,"H","US","HW","BET","BIGEYE TUNA",183
1993,"S","JP","CS","ALB","ALBACORE",23
1993,"S","JP","CS","BET","BIGEYE TUNA",29
1993,"S","JP","CS","SKJ","SKIPJACK TUNA",4838
1993,"S","JP","CS","PBF","PACIFIC BLUEFIN TUNA",1444
1993,"S","JP","CS","YFT","YELLOWFIN TUNA",254
1991,"L","NZ",NA,"ALB","ALBACORE",85
1991,"L","NZ",NA,"YFT","YELLOWFIN TUNA",6
1991,"L","NZ",NA,"BET","BIGEYE TUNA",44
1991,"L","NZ",NA,"SWO","SWORDFISH",42
2007,"T","JP",NA,"PBF","PACIFIC BLUEFIN TUNA",2385
2007,"T","JP",NA,"BET","BIGEYE TUNA",124
2007,"T","JP",NA,"ALB","ALBACORE",519
2007,"T","JP",NA,"YFT","YELLOWFIN TUNA",2297
2007,"T","JP",NA,"SWO","SWORDFISH",14
2007,"T","JP",NA,"SKJ","SKIPJACK TUNA",3249
2007,"T","JP",NA,"MLS","STRIPED MARLIN",35
2012,"S","EC",NA,"SKJ","SKIPJACK TUNA",14523
2012,"S","EC",NA,"YFT","YELLOWFIN TUNA",3090
2012,"S","EC",NA,"BET","BIGEYE TUNA",5532
2016,"K","ID",NA,"SKJ","SKIPJACK TUNA",51883
2016,"K","ID",NA,"BET","BIGEYE TUNA",3145
2016,"K","ID",NA,"YFT","YELLOWFIN TUNA",23583
2007,"L","ID",NA,"SWO","SWORDFISH",623
2007,"L","ID",NA,"MLS","STRIPED MARLIN",221
2007,"L","ID",NA,"BET","BIGEYE TUNA",3955
2007,"L","ID",NA,"YFT","YELLOWFIN TUNA",18734
1986,"S","JP","DW","YFT","YELLOWFIN TUNA",53933
1986,"S","JP","DW","PBF","PACIFIC BLUEFIN TUNA",7412
1986,"S","JP","DW","SKJ","SKIPJACK TUNA",118743
1986,"S","JP","DW","BET","BIGEYE TUNA",12783
1986,"S","JP","DW","ALB","ALBACORE",1045
1980,"P","AU",NA,"ALB","ALBACORE",100
1966,"L","JP","CS","ALB","ALBACORE",307
1966,"L","JP","CS","YFT","YELLOWFIN TUNA",1388
1995,"P","AU",NA,"SKJ","SKIPJACK TUNA",211
1995,"P","AU",NA,"YFT","YELLOWFIN TUNA",9
2013,"T","NZ",NA,"BET","BIGEYE TUNA",2
2013,"T","NZ",NA,"PBF","PACIFIC BLUEFIN TUNA",4
2013,"T","NZ",NA,"ALB","ALBACORE",2836
2013,"T","NZ",NA,"SKJ","SKIPJACK TUNA",6
1989,"P","US","HW","YFT","YELLOWFIN TUNA",10
1989,"P","US","HW","SKJ","SKIPJACK TUNA",1332
2007,"O","JP",NA,"ALB","ALBACORE",74
2007,"O","JP",NA,"YFT","YELLOWFIN TUNA",348
2007,"O","JP",NA,"SKJ","SKIPJACK TUNA",770
2007,"O","JP",NA,"PBF","PACIFIC BLUEFIN TUNA",2568
2007,"O","JP",NA,"SWO","SWORDFISH",480
2007,"O","JP",NA,"MLS","STRIPED MARLIN",56
2007,"O","JP",NA,"BET","BIGEYE TUNA",65
1961,"O","PH",NA,"YFT","YELLOWFIN TUNA",2936
1961,"O","PH",NA,"SKJ","SKIPJACK TUNA",4884
2018,"T","US","GU","SKJ","SKIPJACK TUNA",277
2018,"T","US","GU","YFT","YELLOWFIN TUNA",24
1999,"S","NZ",NA,"SKJ","SKIPJACK TUNA",5656
2014,"T","US","MP","YFT","YELLOWFIN TUNA",8
2014,"T","US","MP","SKJ","SKIPJACK TUNA",109
2017,"S","FM",NA,"SWO","SWORDFISH",1
2017,"S","FM",NA,"YFT","YELLOWFIN TUNA",15914
2017,"S","FM",NA,"SKJ","SKIPJACK TUNA",66446
2017,"S","FM",NA,"BET","BIGEYE TUNA",3404
2017,"S","FM",NA,"MLS","STRIPED MARLIN",2
1992,"N","JP",NA,"SKJ","SKIPJACK TUNA",414
1992,"N","JP",NA,"MLS","STRIPED MARLIN",35
1992,"N","JP",NA,"ALB","ALBACORE",935
1992,"N","JP",NA,"YFT","YELLOWFIN TUNA",3
1992,"N","JP",NA,"PBF","PACIFIC BLUEFIN TUNA",4
1992,"N","JP",NA,"SWO","SWORDFISH",47
2022,"S","EC",NA,"SKJ","SKIPJACK TUNA",11330.338
2022,"S","EC",NA,"BET","BIGEYE TUNA",6058.261
2022,"S","EC",NA,"YFT","YELLOWFIN TUNA",3846.38
2015,"H","ID",NA,"YFT","YELLOWFIN TUNA",29679
2015,"H","ID",NA,"BET","BIGEYE TUNA",2824
2015,"H","ID",NA,"SWO","SWORDFISH",4
1988,"G","TW",NA,"ALB","ALBACORE",1000
1998,"S","FM",NA,"YFT","YELLOWFIN TUNA",3627
1998,"S","FM",NA,"SKJ","SKIPJACK TUNA",8554
1998,"S","FM",NA,"BET","BIGEYE TUNA",945
2020,"T","JP",NA,"BET","BIGEYE TUNA",69
2020,"T","JP",NA,"SKJ","SKIPJACK TUNA",949
2020,"T","JP",NA,"PBF","PACIFIC BLUEFIN TUNA",760
2020,"T","JP",NA,"YFT","YELLOWFIN TUNA",2008
2020,"T","JP",NA,"ALB","ALBACORE",784
2014,"S","EC",NA,"YFT","YELLOWFIN TUNA",2886
2014,"S","EC",NA,"BET","BIGEYE TUNA",3816
2014,"S","EC",NA,"SKJ","SKIPJACK TUNA",15067
1991,"L","AU","AU","SWO","SWORDFISH",59
1991,"L","AU","AU","SKJ","SKIPJACK TUNA",66
1991,"L","AU","AU","YFT","YELLOWFIN TUNA",807
1991,"L","AU","AU","BET","BIGEYE TUNA",27
1991,"L","AU","AU","ALB","ALBACORE",158
1991,"L","AU","AU","BSH","BLUE SHARK",1
1991,"L","AU","AU","MLS","STRIPED MARLIN",32
2005,"S","SB",NA,"YFT","YELLOWFIN TUNA",7130
2005,"S","SB",NA,"SKJ","SKIPJACK TUNA",8794
2005,"S","SB",NA,"BET","BIGEYE TUNA",501
2003,"G","JP",NA,"YFT","YELLOWFIN TUNA",21
2003,"G","JP",NA,"SWO","SWORDFISH",1130
2003,"G","JP",NA,"PBF","PACIFIC BLUEFIN TUNA",43
2003,"G","JP",NA,"BET","BIGEYE TUNA",11
2003,"G","JP",NA,"SKJ","SKIPJACK TUNA",696
2003,"G","JP",NA,"MLS","STRIPED MARLIN",1025
2003,"G","JP",NA,"ALB","ALBACORE",126
2015,"R","TW",NA,"SKJ","SKIPJACK TUNA",4510
1952,"L","US","HW","YFT","YELLOWFIN TUNA",322
1952,"L","US","HW","BET","BIGEYE TUNA",1013
1952,"L","US","HW","SKJ","SKIPJACK TUNA",54
1952,"L","US","HW","ALB","ALBACORE",46
2021,"O","PH",NA,"ALB","ALBACORE",27
2021,"O","PH",NA,"BET","BIGEYE TUNA",123
2021,"O","PH",NA,"YFT","YELLOWFIN TUNA",3310
2021,"O","PH",NA,"SKJ","SKIPJACK TUNA",5499
1998,"S","TW",NA,"SKJ","SKIPJACK TUNA",172862
1998,"S","TW",NA,"BET","BIGEYE TUNA",11459
1998,"S","TW",NA,"YFT","YELLOWFIN TUNA",74372
2001,"T","CK",NA,"ALB","ALBACORE",202
2000,"T","JP",NA,"BET","BIGEYE TUNA",190
2000,"T","JP",NA,"YFT","YELLOWFIN TUNA",2258
2000,"T","JP",NA,"PBF","PACIFIC BLUEFIN TUNA",5121
2000,"T","JP",NA,"ALB","ALBACORE",645
2000,"T","JP",NA,"SKJ","SKIPJACK TUNA",14528
2000,"T","JP",NA,"SWO","SWORDFISH",42
2000,"T","JP",NA,"MLS","STRIPED MARLIN",88
2000,"T","US","AS","SKJ","SKIPJACK TUNA",7
2000,"T","US","AS","YFT","YELLOWFIN TUNA",2
2001,"S","PH","PH","YFT","YELLOWFIN TUNA",29598
2001,"S","PH","PH","SKJ","SKIPJACK TUNA",57654
2001,"S","PH","PH","BET","BIGEYE TUNA",3866
2002,"L","JP","CS","SKJ","SKIPJACK TUNA",19
2002,"L","JP","CS","ALB","ALBACORE",16918
